,Gender,Age,Tenure,Saving_Amount,Current_Amount,Time_Deposits_Amount,Funds_Amount,Stocks_Amount,Bank_Assurance_Amount,Life_Assurance_Amount,Business_Loan_Amount,Home_Loan_Amount,Consumer_Loan_Amount,Branch_Transactions,ATM_Transactions,Phone_Transactions,Internet_Transactions,Standing_Orders,New_Credit_Card_Flag
99,M,50,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382857,0,0,0,0,0,0
100,M,64,49,20.491429,0.0,0.0,0.0,0.0,61.674286,0.0,0.0,13621.702857,4666.631429,11,1,0,0,0,1
101,M,56,49,19560.034286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
102,F,45,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205714,0,0,0,0,0,0
103,M,77,49,3569.306667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,0,0
104,M,55,49,78.402857,0.937143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0,0
105,F,33,49,37.551429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.862857,0,0,0,0,0,0
106,F,44,49,4.558571,0.0,0.0,0.0,23.771429,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
107,F,56,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7649.365714,0.0,0.0,9,0,0,0,0,0
108,F,53,49,8.991429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.345714,3,3,0,0,0,0
109,M,41,49,527.662857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6720.548571,1,1,0,0,0,0
110,F,56,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4620.92,1,0,0,0,0,0
111,M,51,49,655.564286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
112,M,56,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.732857,2,0,0,0,0,0
113,M,39,49,0.0,0.0,204693.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0
114,M,58,49,1353.76,0.0,0.0,0.0,0.0,72.491429,0.0,0.0,6361.172857,0.0,14,3,0,0,0,1
115,M,66,49,483.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0,0,0,0
116,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137143,0,0,0,0,0,0
117,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.562857,2,1,0,0,0,0
118,F,41,49,0.485714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
119,F,37,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954286,0,0,0,0,0,0
120,F,39,49,0.0,322.328571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0
121,F,55,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571,0,0,0,0,0,0
122,M,51,49,0.0,36.004286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,8,0,1
123,M,55,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.214286,0,13,0,0,0,1
124,M,61,49,192.872857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0
125,M,51,49,12.051429,0.0,0.0,6700.327143,0.0,0.0,32.205714,0.0,0.0,7973.224286,4,0,0,0,0,0
126,F,58,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0,0,0,0,0,0
127,M,58,49,42.597143,0.0,0.0,0.0,178.278571,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0
128,M,55,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045714,0,0,0,0,0,0
129,M,57,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045714,0,0,0,0,0,0
130,F,53,49,0.031429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0
131,M,60,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068571,0,0,0,0,0,0
132,M,45,49,0.337143,0.0,0.0,0.0,0.0,155.485714,0.0,0.0,0.0,0.0,0,0,0,0,0,0
133,M,59,49,0.0,48.268571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
134,M,52,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.71,0,0,0,0,0,0
135,M,65,49,69.124286,0.0,0.0,3059.105714,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
136,M,57,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,1,0,0,0,0,0
137,M,58,49,207.005714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337143,0,0,0,0,0,0
138,M,53,49,10.022857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8330.924286,3,0,0,0,0,0
139,F,58,49,139.307143,0.0,0.0,0.0,238.254286,0.0,0.0,0.0,0.0,0.0,12,9,0,0,0,0
140,M,48,49,561.208571,4637.562857,0.0,0.0,0.0,673.211429,802.091429,0.0,38208.271429,3047.47,19,27,0,0,1,0
141,M,67,49,970.717143,3107.802857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0
142,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531429,0,0,0,0,0,0
